color,director_name,duration,gross,movie_title,num_voted_users,language,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes
Color,Colin Trevorrow,124,652177271,Jurassic World ,418214,English,USA,PG-13,150000000,2015,7,150000
Color,Sam Mendes,143,304360277,Skyfall ,522030,English,UK,PG-13,200000000,2012,7.8,80000
Color,Sam Raimi,135,373377893,Spider-Man 2 ,411164,English,USA,PG-13,200000000,2004,7.3,0
Color,Shane Black,195,408992272,Iron Man 3 ,557489,English,USA,PG-13,200000000,2013,7.2,95000
Color,Tim Burton,108,334185206,Alice in Wonderland ,306320,English,USA,PG,200000000,2010,6.5,24000
Color,Brett Ratner,104,234360014,X-Men: The Last Stand ,383427,English,Canada,PG-13,210000000,2006,6.8,0
Color,Dan Scanlon,104,268488329,Monsters University ,235025,English,USA,G,200000000,2013,7.3,44000
Color,Michael Bay,150,402076689,Transformers: Revenge of the Fallen ,323207,English,USA,PG-13,200000000,2009,6,0
Color,Michael Bay,165,245428137,Transformers: Age of Extinction ,242420,English,USA,PG-13,210000000,2014,5.7,56000
Color,Sam Raimi,130,234903076,Oz the Great and Powerful ,175409,English,USA,PG,215000000,2013,6.4,60000
Color,Marc Webb,142,202853933,The Amazing Spider-Man 2 ,321227,English,USA,PG-13,200000000,2014,6.7,41000
Color,Joseph Kosinski,125,172051787,TRON: Legacy ,264183,English,USA,PG,170000000,2010,6.8,30000
Color,John Lasseter,106,191450875,Cars 2 ,101178,English,USA,G,200000000,2011,6.3,10000
Color,Martin Campbell,123,116593191,Green Lantern ,223393,English,USA,PG-13,200000000,2011,5.6,24000
Color,Lee Unkrich,103,414984497,Toy Story 3 ,544884,English,USA,G,200000000,2010,8.3,30000
Color,McG,118,125320003,Terminator Salvation ,286095,English,USA,PG-13,200000000,2009,6.6,0
Color,James Wan,140,350034110,Furious 7 ,278232,English,USA,PG-13,190000000,2015,7.2,94000
Color,Marc Forster,123,202351611,World War Z ,465019,English,USA,PG-13,190000000,2013,7,129000
Color,Bryan Singer,149,233914986,X-Men: Days of Future Past ,514125,English,USA,PG-13,200000000,2014,8,82000
Color,J.J. Abrams,132,228756232,Star Trek Into Darkness ,395573,English,USA,PG-13,190000000,2013,7.8,92000
Color,Bryan Singer,114,65171860,Jack the Giant Slayer ,106416,English,USA,PG-13,195000000,2013,6.3,22000
Color,Baz Luhrmann,143,144812796,The Great Gatsby ,362912,English,Australia,PG-13,105000000,2013,7.3,115000
Color,Mike Newell,116,90755643,Prince of Persia: The Sands of Time ,222403,English,USA,PG-13,200000000,2010,6.6,23000
Color,Guillermo del Toro,131,101785482,Pacific Rim ,381148,English,USA,PG-13,190000000,2013,7,83000
Color,Michael Bay,154,352358779,Transformers: Dark of the Moon ,326180,English,USA,PG-13,195000000,2011,6.3,46000
Color,Steven Spielberg,122,317011114,Indiana Jones and the Kingdom of the Crystal Skull ,333847,English,USA,PG-13,185000000,2008,6.2,5000
Color,Peter Sohn,93,123070338,The Good Dinosaur ,62836,English,USA,PG,,2015,6.8,20000
Color,Mark Andrews,93,237282182,Brave ,273556,English,USA,PG,185000000,2012,7.2,39000
Color,Justin Lin,122,130468626,Star Trek Beyond ,53607,English,USA,PG-13,185000000,2016,7.5,30000
Color,Andrew Stanton,98,223806889,WALL·E ,718837,English,USA,G,180000000,2008,8.4,16000
Color,Brett Ratner,91,140080850,Rush Hour 3 ,121084,English,USA,PG-13,140000000,2007,6.2,0
Color,Roland Emmerich,158,166112167,2012 ,283418,English,USA,PG-13,200000000,2009,5.8,13000
Color,Robert Zemeckis,96,137850096,A Christmas Carol ,72809,English,USA,PG,200000000,2009,6.8,0
Color,Lana Wachowski,127,47375327,Jupiter Ascending ,139593,English,USA,PG-13,176000000,2015,5.4,44000
Color,David Yates,110,124051759,The Legend of Tarzan ,42372,English,USA,PG-13,180000000,2016,6.6,29000
Color,Andrew Adamson,150,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,English,USA,PG,180000000,2005,6.9,0
Color,Bryan Singer,144,154985087,X-Men: Apocalypse ,148379,English,USA,PG-13,178000000,2016,7.3,54000
Color,Christopher Nolan,152,533316061,The Dark Knight ,1676169,English,USA,PG-13,185000000,2008,9,37000
Color,Pete Docter,96,292979556,Up ,665575,English,USA,PG,175000000,2009,8.3,27000
Color,Rob Letterman,94,198332128,Monsters vs. Aliens ,114553,English,USA,PG,175000000,2009,6.5,0
Color,Jon Favreau,126,318298180,Iron Man ,696338,English,USA,PG-13,140000000,2008,7.9,10000
Color,Martin Scorsese,126,73820094,Hugo ,245333,English,USA,PG,170000000,2011,7.5,42000
Color,Barry Sonnenfeld,106,113745408,Wild Wild West ,129601,English,USA,PG-13,170000000,1999,4.8,0
Color,Rob Cohen,112,102176165,The Mummy: Tomb of the Dragon Emperor ,117927,English,USA,PG-13,145000000,2008,5.2,0
Color,David Ayer,123,161087183,Suicide Squad ,118992,English,USA,PG-13,175000000,2016,6.9,80000
Color,Tom Shadyac,96,100289690,Evan Almighty ,115099,English,USA,PG,175000000,2007,5.4,2000
Color,Doug Liman,113,100189501,Edge of Tomorrow ,431620,English,USA,PG-13,178000000,2014,7.9,77000
Color,Kevin Reynolds,176,88246220,Waterworld ,144337,English,USA,PG-13,175000000,1995,6.1,0
Color,Stephen Sommers,118,150167630,G.I. Joe: The Rise of Cobra ,174578,English,USA,PG-13,175000000,2009,5.8,0
Color,Pete Docter,95,356454367,Inside Out ,345198,English,USA,PG,175000000,2015,8.3,118000
Color,Jon Favreau,106,362645141,The Jungle Book ,106072,English,UK,PG,175000000,2016,7.8,65000
Color,Jon Favreau,124,312057433,Iron Man 2 ,522371,English,USA,PG-13,200000000,2010,7,18000
Color,Rupert Sanders,132,155111815,Snow White and the Huntsman ,228554,English,USA,PG-13,170000000,2012,6.1,53000
Color,Robert Stromberg,97,241407328,Maleficent ,252257,English,USA,PG,180000000,2014,7,89000
Color,Matt Reeves,130,208543795,Dawn of the Planet of the Apes ,317542,English,USA,PG-13,170000000,2014,7.6,45000
Color,Roland Joffé,109,,The Lovers ,2138,English,Belgium,R,,2015,4.5,677
Color,Carl Rinsch,128,38297305,47 Ronin ,116994,English,USA,PG-13,175000000,2013,6.3,35000
Color,Anthony Russo,136,259746958,Captain America: The Winter Soldier ,496749,English,USA,PG-13,170000000,2014,7.8,55000
Color,Mike Mitchell,93,238371987,Shrek Forever After ,138661,English,USA,PG,165000000,2010,6.4,0
Color,Brad Bird,130,93417865,Tomorrowland ,128306,English,USA,PG,190000000,2015,6.5,37000
Color,Don Hall,102,222487711,Big Hero 6 ,279093,English,USA,PG,165000000,2014,7.9,41000
Color,Rich Moore,101,189412677,Wreck-It Ralph ,272534,English,USA,PG,165000000,2012,7.8,40000
Color,Robert Zemeckis,100,665426,The Polar Express ,120798,English,USA,G,165000000,2004,6.6,10000
Color,Roland Emmerich,120,102315545,Independence Day: Resurgence ,58137,English,USA,PG-13,165000000,2016,5.5,67000
Color,Dean DeBlois,98,217387997,How to Train Your Dragon ,485430,English,USA,PG,165000000,2010,8.2,33000
Color,Jonathan Mostow,109,150350192,Terminator 3: Rise of the Machines ,305340,English,USA,R,200000000,2003,6.4,0
Color,James Gunn,121,333130696,Guardians of the Galaxy ,682155,English,USA,PG-13,170000000,2014,8.1,96000
Color,Christopher Nolan,169,187991439,Interstellar ,928227,English,USA,PG-13,165000000,2014,8.6,349000
Color,Christopher Nolan,148,292568851,Inception ,1468200,English,USA,PG-13,160000000,2010,8.8,175000
Color,Hideaki Anno,120,,Godzilla Resurgence ,374,Japanese,Japan,,,2016,8.2,0
Color,Peter Jackson,182,303001229,The Hobbit: An Unexpected Journey ,637246,English,USA,PG-13,180000000,2012,7.9,166000
Color,Rob Cohen,106,144512310,The Fast and the Furious ,272223,English,USA,PG-13,38000000,2001,6.7,14000
Color,David Fincher,166,127490802,The Curious Case of Benjamin Button ,459346,English,USA,PG-13,150000000,2008,7.8,23000
Color,Matthew Vaughn,132,146405371,X-Men: First Class ,518537,English,USA,PG-13,160000000,2011,7.8,54000
Color,Francis Lawrence,137,281666058,The Hunger Games: Mockingjay - Part 2 ,166137,English,USA,PG-13,160000000,2015,6.6,38000
Color,Jon Turteltaub,109,63143812,The Sorcerer's Apprentice ,124185,English,USA,PG,150000000,2010,6.1,11000
Color,Wolfgang Petersen,98,60655503,Poseidon ,82380,English,USA,PG-13,160000000,2006,5.6,0
Color,James Bobin,113,76846624,Alice Through the Looking Glass ,21352,English,USA,PG,170000000,2016,6.4,30000
Color,Chris Miller,93,320706665,Shrek the Third ,211971,English,USA,PG,160000000,2007,6.1,0
Color,Duncan Jones,123,46978995,Warcraft ,111609,English,USA,PG-13,160000000,2016,7.3,89000
Color,Alan Taylor,126,89732035,Terminator Genisys ,188457,English,USA,PG-13,155000000,2015,6.6,82000
Color,Michael Apted,113,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,English,USA,PG,155000000,2010,6.3,11000
 Black and White,Michael Bay,184,198539855,Pearl Harbor ,254111,English,USA,PG-13,140000000,2001,6.1,0
Color,Michael Bay,144,318759914,Transformers ,513158,English,USA,PG-13,150000000,2007,7.1,8000
Color,Oliver Stone,206,34293771,Alexander ,138863,English,Germany,R,155000000,2004,5.5,0
Color,David Yates,138,292000866,Harry Potter and the Order of the Phoenix ,355137,English,UK,PG-13,150000000,2007,7.5,0
Color,Mike Newell,157,289994397,Harry Potter and the Goblet of Fire ,385670,English,UK,PG-13,150000000,2005,7.6,0
Color,Peter Berg,102,227946274,Hancock ,343648,English,USA,PG-13,150000000,2008,6.4,0
Color,Francis Lawrence,104,256386216,I Am Legend ,530870,English,USA,PG-13,150000000,2007,7.2,11000
Color,Tim Burton,115,206456431,Charlie and the Chocolate Factory ,320284,English,USA,PG,150000000,2005,6.7,0
Color,Brad Bird,111,206435493,Ratatouille ,473887,English,USA,G,150000000,2007,8,10000
Color,Christopher Nolan,128,205343774,Batman Begins ,980946,English,USA,PG-13,150000000,2005,8.3,15000
Color,Eric Darnell,89,179982968,Madagascar: Escape 2 Africa ,146019,English,USA,PG,150000000,2008,6.7,0
Color,Shawn Levy,105,177243721,Night at the Museum: Battle of the Smithsonian ,130272,English,USA,PG,150000000,2009,5.9,2000
Color,Gavin Hood,119,179883016,X-Men Origins: Wolverine ,361924,English,USA,PG-13,150000000,2009,6.7,0
Color,Lana Wachowski,129,139259759,The Matrix Revolutions ,364948,English,Australia,R,150000000,2003,6.7,0
Color,Chris Buck,102,400736600,Frozen ,421658,English,USA,PG,150000000,2013,7.6,58000
Color,Lana Wachowski,138,281492479,The Matrix Reloaded ,421818,English,USA,R,150000000,2003,7.2,0
Color,Alan Taylor,112,206360018,Thor: The Dark World ,414070,English,USA,PG-13,170000000,2013,7.1,63000
Color,George Miller,120,153629485,Mad Max: Fury Road ,552503,English,Australia,R,150000000,2015,8.1,191000
Color,Ron Howard,146,133375846,Angels & Demons ,207839,English,USA,PG-13,150000000,2009,6.7,0
Color,Kenneth Branagh,115,181015141,Thor ,536314,English,USA,PG-13,150000000,2011,7,63000
Color,Byron Howard,96,114053579,Bolt ,146766,English,USA,PG,150000000,2008,6.9,0
Color,Hoyt Yeatman,88,119420252,G-Force ,33042,English,USA,PG,150000000,2009,5.1,0
Color,Jonathan Liebesman,99,83640426,Wrath of the Titans ,152826,English,USA,PG-13,150000000,2012,5.8,19000
Color,Tim Burton,113,79711678,Dark Shadows ,199039,English,USA,PG-13,100000000,2012,6.2,82000
Color,Christopher McQuarrie,131,195000874,Mission: Impossible - Rogue Nation ,232187,English,China,PG-13,150000000,2015,7.4,47000
Color,Joe Johnston,119,61937495,The Wolfman ,89442,English,USA,R,150000000,2010,5.8,0
Color,David Yates,110,124051759,The Legend of Tarzan ,42372,English,USA,PG-13,180000000,2016,6.6,29000
Color,Steve Hickner,91,126597121,Bee Movie ,105902,English,USA,PG,150000000,2007,6.2,0
Color,Jennifer Yuh Nelson,90,165230261,Kung Fu Panda 2 ,182718,English,USA,PG,150000000,2011,7.3,20000
Color,M. Night Shyamalan,103,131564731,The Last Airbender ,118951,English,USA,PG,150000000,2010,4.2,18000
Color,J.J. Abrams,124,133382309,Mission: Impossible III ,256695,English,USA,PG-13,150000000,2006,6.9,0
Color,Roland Emmerich,131,73103784,White House Down ,164238,English,USA,PG-13,150000000,2013,6.4,33000
Color,Simon Wells,88,21379315,Mars Needs Moms ,17590,English,USA,PG,150000000,2011,5.4,0
Color,David Bowers,85,64459316,Flushed Away ,85086,English,UK,PG,149000000,2006,6.7,0
Color,Joe Wright,111,34964818,Pan ,39956,English,USA,PG,150000000,2015,5.8,24000
Color,Rob Minkoff,92,111505642,Mr. Peabody & Sherman ,47900,English,USA,PG,145000000,2014,6.9,11000
Color,Wolfgang Petersen,196,133228348,Troy ,381672,English,USA,R,175000000,2004,7.2,0
Color,Eric Darnell,93,216366733,Madagascar 3: Europe's Most Wanted ,119213,English,USA,PG,145000000,2012,6.9,17000
 Black and White,Lee Tamahori,133,160201106,Die Another Day ,169914,English,UK,PG-13,142000000,2002,6.1,0
Color,Paul Feig,116,118099659,Ghostbusters ,69757,English,USA,PG-13,144000000,2016,5.5,62000
Color,Michael Bay,153,201573391,Armageddon ,322395,English,USA,PG-13,140000000,1998,6.6,11000
Color,Barry Sonnenfeld,88,190418803,Men in Black II ,270207,English,USA,PG-13,140000000,2002,6.1,2000
Color,Robert Zemeckis,115,82161969,Beowulf ,142440,English,USA,PG-13,150000000,2007,6.3,3000
Color,Alessandro Carloni,95,143523463,Kung Fu Panda 3 ,64322,English,USA,PG,145000000,2016,7.2,24000
Color,Brad Bird,133,209364921,Mission: Impossible - Ghost Protocol ,365104,English,USA,PG-13,145000000,2011,7.4,35000
Color,Peter Ramsey,97,103400692,Rise of the Guardians ,123553,English,USA,PG,145000000,2012,7.3,25000
Color,Dean Parisot,90,110332737,Fun with Dick and Jane ,110788,English,USA,PG-13,100000000,2005,6.1,2000
Color,Edward Zwick,154,111110575,The Last Samurai ,317166,English,USA,R,140000000,2003,7.7,0
Color,Ridley Scott,150,65007045,Exodus: Gods and Kings ,128682,English,UK,PG-13,140000000,2014,6.1,51000
Color,J.J. Abrams,127,257704099,Star Trek ,504419,English,USA,PG-13,150000000,2009,8,19000
Color,Sam Raimi,121,403706375,Spider-Man ,544665,English,USA,PG-13,139000000,2002,7.3,5000
Color,Dean DeBlois,102,176997107,How to Train Your Dragon 2 ,221128,English,USA,PG,145000000,2014,7.9,46000
Color,Alex Proyas,126,31141074,Gods of Egypt ,51892,English,USA,PG-13,140000000,2016,5.5,24000
Color,Rob Cohen,121,31704416,Stealth ,45455,English,USA,PG-13,135000000,2005,5,0
Color,Zack Snyder,215,107503316,Watchmen ,392474,English,USA,R,130000000,2009,7.7,18000
Color,Richard Donner,127,129734803,Lethal Weapon 4 ,127497,English,USA,R,140000000,1998,6.6,0
Color,Ang Lee,138,132122995,Hulk ,212106,English,USA,PG-13,137000000,2003,5.7,0
Color,Jon M. Chu,122,122512052,G.I. Joe: Retaliation ,146352,English,USA,PG-13,130000000,2013,5.8,42000
Color,Breck Eisner,124,68642452,Sahara ,77673,English,UK,PG-13,130000000,2005,6,0
Color,Hironobu Sakaguchi,106,32131830,Final Fantasy: The Spirits Within ,72259,English,USA,PG-13,137000000,2001,6.4,0
Color,Joe Johnston,124,176636816,Captain America: The First Avenger ,508818,English,USA,PG-13,140000000,2011,6.9,46000
Color,Michael Apted,128,126930660,The World Is Not Enough ,157519,English,UK,PG-13,135000000,1999,6.4,2000
Color,Peter Weir,138,93926386,Master and Commander: The Far Side of the World ,168207,English,USA,PG-13,150000000,2003,7.4,0
Color,Bill Condon,115,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,185394,English,USA,PG-13,120000000,2012,5.5,65000
Color,George Miller,100,63992328,Happy Feet 2 ,32399,English,Australia,PG,135000000,2011,5.9,0
Color,Louis Leterrier,135,134518390,The Incredible Hulk ,326286,English,USA,PG-13,150000000,2008,6.8,0
Color,,60,,Miami Vice             ,16769,English,USA,TV-14,1500000,,7.5,0
Color,Steven Spielberg,117,52792307,The BFG ,12572,English,UK,PG,140000000,2016,6.8,27000
Color,Alejandro G. Iñárritu,156,183635922,The Revenant ,406020,English,USA,R,135000000,2015,8.1,190000
Color,David Soren,96,83024900,Turbo ,62424,English,USA,PG,135000000,2013,6.5,13000
Color,Gore Verbinski,107,123207194,Rango ,183208,English,USA,PG,135000000,2011,7.2,26000
Color,Eric Darnell,92,83348920,Penguins of Madagascar ,60230,English,USA,PG,132000000,2014,6.7,11000
Color,Paul Greengrass,115,227137090,The Bourne Ultimatum ,491077,English,USA,PG-13,110000000,2007,8.1,0
Color,Mark Osborne,92,215395021,Kung Fu Panda ,307029,English,USA,PG,130000000,2008,7.6,6000
Color,Peyton Reed,117,180191634,Ant-Man ,313866,English,USA,PG-13,130000000,2015,7.4,61000
Color,Francis Lawrence,146,424645577,The Hunger Games: Catching Fire ,498397,English,USA,PG-13,130000000,2013,7.6,82000
Color,Bill Condon,115,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,185394,English,USA,PG-13,120000000,2012,5.5,65000
Color,Tim Johnson,94,177343675,Home ,70121,English,USA,PG,135000000,2015,6.7,26000
Color,Steven Spielberg,116,234277056,War of the Worlds ,334345,English,USA,PG-13,132000000,2005,6.5,0
Color,Michael Bay,147,138396624,Bad Boys II ,178126,English,USA,R,130000000,2003,6.6,0
Color,Chris Miller,90,149234747,Puss in Boots ,114287,English,USA,PG,130000000,2011,6.7,16000
Color,Phillip Noyce,101,118311368,Salt ,245621,English,USA,PG-13,110000000,2010,6.4,23000
Color,Darren Aronofsky,138,101160529,Noah ,200022,English,USA,PG-13,125000000,2014,5.8,71000
Color,Steven Spielberg,107,77564037,The Adventures of Tintin ,177383,English,USA,PG,135000000,2011,7.4,44000
Color,Alfonso Cuarón,142,249358727,Harry Potter and the Prisoner of Azkaban ,382255,English,UK,PG,130000000,2004,7.8,11000
Color,Baz Luhrmann,165,49551662,Australia ,102338,English,Australia,PG-13,130000000,2008,6.6,0
Color,M. Night Shyamalan,100,60522097,After Earth ,158720,English,USA,PG-13,130000000,2013,4.9,37000
Color,Eric Leighton,82,137748063,Dinosaur ,38438,English,USA,PG,127500000,2000,6.5,0
Color,Matt Birch,,,Harry Potter and the Deathly Hallows: Part II ,381,English,UK,,,2011,7.5,40
Color,Shawn Levy,98,113733726,Night at the Museum: Secret of the Tomb ,67223,English,USA,PG,127000000,2014,6.2,11000
Color,Tom McGrath,95,148337537,Megamind ,172754,English,USA,PG,130000000,2010,7.3,13000
Color,Chris Columbus,159,317557891,Harry Potter and the Sorcerer's Stone ,444683,English,UK,PG,125000000,2001,7.5,16000
Color,Robert Schwentke,96,33592415,R.I.P.D. ,91640,English,USA,PG-13,130000000,2013,5.6,20000
Color,Hideaki Anno,120,,Godzilla Resurgence ,374,Japanese,Japan,,,2016,8.2,0
Color,Gore Verbinski,143,305388685,Pirates of the Caribbean: The Curse of the Black Pearl ,809474,English,USA,PG-13,140000000,2003,8.1,10000
Color,Matt Birch,,,Harry Potter and the Deathly Hallows: Part I ,252,English,UK,,,2010,6.4,25
Color,Francis Lawrence,123,337103873,The Hunger Games: Mockingjay - Part 1 ,305008,English,USA,PG-13,125000000,2014,6.7,52000
Color,Ron Howard,174,217536138,The Da Vinci Code ,314253,English,USA,PG-13,125000000,2006,6.6,0
Color,Carlos Saldanha,101,131536019,Rio 2 ,58498,English,USA,G,103000000,2014,6.4,0
Color,Bryan Singer,134,214948780,X-Men 2 ,405973,English,Canada,PG-13,110000000,2003,7.5,0
Color,Justin Lin,132,209805005,Fast Five ,284792,English,USA,PG-13,125000000,2011,7.3,54000
Color,Guy Ritchie,129,186830669,Sherlock Holmes: A Game of Shadows ,338635,English,USA,PG-13,125000000,2011,7.5,39000
Color,Louis Leterrier,106,163192114,Clash of the Titans ,229679,English,USA,PG-13,125000000,2010,5.8,15000
Color,Paul Verhoeven,113,119412921,Total Recall ,240241,English,USA,R,65000000,1990,7.5,0
Color,John McTiernan,102,32694788,The 13th Warrior ,101411,English,USA,R,85000000,1999,6.6,0
Color,Tony Gilroy,135,113165635,The Bourne Legacy ,229823,English,USA,PG-13,125000000,2012,6.7,31000
Color,Joel Schumacher,125,107285004,Batman & Robin ,189855,English,USA,PG-13,125000000,1997,3.7,0
Color,Ron Howard,110,260031035,How the Grinch Stole Christmas ,141414,English,USA,PG,123000000,2000,6,0
Color,Roland Emmerich,124,186739919,The Day After Tomorrow ,333248,English,USA,PG-13,125000000,2004,6.4,19000
Color,John Woo,123,215397307,Mission: Impossible II ,242188,English,USA,PG-13,125000000,2000,6.1,0
Color,Wolfgang Petersen,130,182618434,The Perfect Storm ,133076,English,USA,PG-13,140000000,2000,6.4,0
Color,Tim Story,92,131920333,Fantastic 4: Rise of the Silver Surfer ,213275,English,USA,PG,130000000,2007,5.6,0
Color,Ang Lee,127,124976634,Life of Pi ,440084,English,USA,PG,120000000,2012,8,122000
Color,Mark Steven Johnson,123,115802596,Ghost Rider ,182661,English,USA,PG-13,110000000,2007,5.2,0
Color,Paul Greengrass,123,108521835,Jason Bourne ,40123,English,UK,PG-13,120000000,2016,7.1,31000
Color,McG,107,100685880,Charlie's Angels: Full Throttle ,100821,English,USA,PG-13,120000000,2003,4.8,0
Color,Ridley Scott,124,126464904,Prometheus ,456260,English,USA,R,130000000,2012,7,97000
Color,Rob Minkoff,77,64736114,Stuart Little 2 ,36471,English,USA,PG,120000000,2002,5.4,459
Color,Neill Blomkamp,109,93050117,Elysium ,338087,English,USA,R,115000000,2013,6.6,61000
Color,David Twohy,134,57637485,The Chronicles of Riddick ,183909,English,USA,PG-13,105000000,2004,6.7,0
Color,José Padilha,117,58607007,RoboCop ,182899,English,USA,PG-13,100000000,2014,6.2,60000
Color,Lana Wachowski,135,43929341,Speed Racer ,57873,English,USA,PG,120000000,2008,6.1,0
Color,James L. Brooks,121,30212620,How Do You Know ,35066,English,USA,PG-13,120000000,2010,5.3,0
Color,James Mangold,117,76418654,Knight and Day ,148280,English,USA,PG-13,117000000,2010,6.3,11000
Color,Joseph Kosinski,124,89021735,Oblivion ,387436,English,USA,PG-13,120000000,2013,7,71000
Color,George Lucas,140,380262555,Star Wars: Episode III - Revenge of the Sith ,520104,English,USA,PG-13,113000000,2005,7.6,10000
Color,George Lucas,142,310675583,Star Wars: Episode II - Attack of the Clones ,464310,English,USA,PG,115000000,2002,6.7,0
Color,Pete Docter,92,289907418,"Monsters, Inc. ",585659,English,USA,G,115000000,2001,8.1,0
Color,James Mangold,138,132550960,The Wolverine ,328067,English,USA,PG-13,120000000,2013,6.7,68000
Color,George Lucas,136,474544677,Star Wars: Episode I - The Phantom Menace ,534658,English,USA,PG,115000000,1999,6.5,13000
Color,Kirk De Micco,98,187165546,The Croods ,150618,English,USA,PG,135000000,2013,7.3,28000
Color,Frédéric Forestier,116,,Asterix at the Olympic Games ,20567,French,France,,78000000,2008,5.1,291
Color,John Woo,153,40911830,Windtalkers ,55994,English,USA,R,115000000,2002,6,0
Color,Cedric Nicolas-Troyan,120,47952020,The Huntsman: Winter's War ,37750,English,USA,PG-13,115000000,2016,6.1,16000
Color,Jonathan Liebesman,101,190871240,Teenage Mutant Ninja Turtles ,167085,English,USA,PG-13,125000000,2014,5.9,62000
Color,Alfonso Cuarón,91,274084951,Gravity ,582917,English,UK,PG-13,100000000,2013,7.8,147000
Color,Roger Donaldson,108,67155742,Dante's Peak ,62271,English,USA,PG-13,116000000,1997,5.8,0
Color,Dave Green,112,81638674,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,English,USA,PG-13,135000000,2016,6.3,12000
Color,Josh Trank,100,56114221,Fantastic Four ,110486,English,USA,PG-13,120000000,2015,4.3,41000
Color,Shawn Levy,108,250863268,Night at the Museum ,234480,English,USA,PG,110000000,2006,6.4,3000
Color,Brad Peyton,114,155181732,San Andreas ,147497,English,USA,PG-13,110000000,2015,6.1,52000
Color,Roger Spottiswoode,119,125332007,Tomorrow Never Dies ,149680,English,UK,PG-13,110000000,1997,6.5,0
Color,Roland Emmerich,142,113330342,The Patriot ,207613,English,USA,R,110000000,2000,7.1,4000
Color,Steven Soderbergh,125,125531634,Ocean's Twelve ,284852,English,USA,PG-13,110000000,2004,6.4,0
Color,Doug Liman,126,186336103,Mr. & Mrs. Smith ,348861,English,USA,PG-13,120000000,2005,6.5,0
